"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","200","200","300","300","300","300","300","400","400","400","400","400","400","500","550","600","650","700","770","770","770","770","770","770","770","770","700","620","550","480","420","350","300","260","260","140","160","205","182","175","163","163","163","160","162","162","145","159","151","163","153","166","138","145","152","150","150","149","149","163","160","165","172","",
"","AFE","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","1411417","1555717","1658417","1765431","1960723","2001526","2119067","2434775","2929685","2844648","2204263","2101036","2390521","2536736","2492767","2200123","1908731","1811375","1837854","1764408","1579661","1632665","1624735","1767175","1662072","1670738","1782701","2483994","2399252","1966033","1970482","1820388","2509770","2514632","2319907","2270011.74","2073540.95","2183307.66","2359556.48","2462849.94","2672207.91","2710197.82","2797892.83","2896765.5","3100583.57","3009236.5","2764596.5","2848399.5","2784653.5","2708715","2934848","2944220.33","3222700.03","3026225.02","3274728.74","3411774.86","3509505.6","3609520.66","3602930.72","3535673.93","3491664.85","3737249.15","3366712.63","",
"Afganistán","AFG","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","200","300","300","300","300","300","300","400","400","400","400","500","500","500","500","600","600","600","600","600","700","700","700","800","800","800","800","1000","1000","1000","1100","1100","1200","1200","1300","1300","1300","1250","1200","1200","1000","800","900","900","1000","1000","1000","1000","1000","1000","1000","1150","1300","1450","1600","1750","1900","2000","2050","2100","2000","1800","2000","",
"","AFW","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","488505","513837","560769","582503","646740","680876","740412","790821","782152","850772","961442","1133279","1201113","1196753","1236678","1274753","1262290","1294795","1307225","1296502","1276821","1313217","1303150","1367361","1339388","1357186","1475547","1550668","1522725","1603515","1681864.04","1596435.1","1767671","1672261","1637856","1862551","2066403","2114588","2144828","2253588","2247133","2290269","2231496","2433204","2500809.4","2545151.89","2395130.99","2398153.01","2545543.14","2617164","2736354.64","2985575.9","3112163.08","3172750.27","3221724.89","3158418.75","3474020.35","4126427.18","4216341.62","4015869.91","3844293.23","4064101.93","4245216.5","",
"Angola","AGO","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","257300","246800","274800","245300","362000","263300","335300","299300","303100","425200","374501","324322","606656","478659","399784","160581","81542","120407","125630","113072","85085","130957","111488","110376","95188","100093","84660","107490","126031","137465","133088","117104","113625","126200","132413","122781","137815","146304","163149","175799","239351","254553","255443","212033","240002","202616","225741","306436","305860","272042","310000","342000","374000","407000","442084","495232","486490","531575","443066","399762","374453","528714","469336","",
"Albania","ALB","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","2600","3200","2800","3000","3000","4000","4000","5000","6000","7000","8000","8000","8000","7997","8455","8415","8377","8336","8807","8740","8661","8921","8812","8653","6809","10191","9757.2","10766.4","10827.3","9357.4","10054.6","3012","2696.2","2500","2100","1380.3","2126.2","1013.8","2683.5","2747.9","3328","3311.2","3656.8","2801.6","4549.5","5000","5652.3","5413.4","5365","5811","5132.2","4805.2","8605.2","8973.09","8705.05","7855.1","7862.09","8563.2","8648.3","8711.5","7627.16","9641.5","8739.5","",
"Andorra","AND","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"El mundo árabe","ARB","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","474880","505098","531470","541412","593475","591828","694322","640424","614804","634609","687642","704721","752750","921488","898963","864249","934355","905199","910069.9","938276.8","987376.1","1038654.08","1032889.64","1179314.24","1199784.88","1276059.99","1420378.55","1422105.05","1575689.65","1489955.32","1535503.06","1588588.55","1569900.81","1677432.32","1884931.47","2023076.68","1792001.81","2006436.51","1984901.7","2060476.98","2211078.93","2569228.49","2466894.47","2512945.22","2590634.07","2676910.11","2478328.44","2480108.32","2491842.38","2760764.61","2736859.91","2618032.44","2981173.22","3058557.37","3085078.53","3097993.39","3406097.31","3605862.61","3975391.41","3886212.82","3946156.96","4255088.54","4302558.25","",
"Emiratos Árabes Unidos","ARE","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","30000","30000","35000","35000","35000","38000","38000","40000","40000","40000","40000","43000","43000","43000","67800","67800","64600","64600","64600","64600","64600","67760","69755","72716","72716","72260","79321","85243","89500","91160","95129","92336","95046","99600","108600","105884","107000","114358","114739","117607","105456","112561","97574","95150","90000","86735","100403","96453","74075","77705","70590","75147","72728","73203","73018","74056","73287","75287","75615","72117","71388","67944","65510","",
"Argentina","ARG","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","103800","101900","101306","130571","168604","205000","250800","240860","223121","202800","214500","228608","237948","301989","295965","232209","281727","402723","541892","580657","400011","374777","488112","428064","322542","419454","422393","461539","496041","494683","560857","642321","745582","984544","999697","1175473","1290065","1389550","1165389","1086926","921800","931081","946185","910200","944846","929937","1171980","985409","995083","861974","811749","793308","738060","870705","829935","814300","755226","835061","835387","826095","837589.49","852565.8","847752.71","",
"Armenia","ARM","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1885","1850","1033","821","580","580","698","1144","1133","866","465","569","218","250","350","1065","601","619","617","795","861","4099","4795","8140","3758","364","369","710","750.01","770","1000","",
"Samoa Americana","ASM","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","100","82","136","113","202","193","183","148","153","112","112","152","118","181","78","123","102","42","45","55","35","127","171","220","443","605","549","846","3667","6939","5089","4041","4019","5349","6519","4424","4944","5122.78","3587.12","4371.96","2841.43","2426.77","4357.95","2252.27","2317.88","2028.42","1434.78","871.17","1195.02","1311.13","",
"Antigua y Barbuda","ATG","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","600","800","800","800","700","800","800","800","800","800","900","900","1200","1500","1590","1601","1613","1821","1620","1219","1171","1157","950","1063","1465","2407","2400","1985","1488","990","875","1481","1692","1046","1095","1576","1434","1639","1675","1626","1723","1797","2343","2541","2473","2948","3044","3042","3389","2416","2219","3055","5951","4605","3114","3165","3165","3165","3165","3165","3115","3205","3230","",
"Australia","AUS","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","55645","55278","61336","67099","67532","77276","88908","92457","102837","91079","97197","106169","116297","119490","133002","104200","104577","136571","130603","137912","136873","153148","171926","169101","177014","162845","183734","212829","219446","197279","234541","244070","250134","248620","220397","227721","220000","220461","228009.44","239333","206380","205227","207516","224550.23","243559.05","250986.28","212900","189661.31","182817.7","178111.49","180130.4","176324.68","166872.31","159328.39","150778.51","151858.15","172583.51","164651.95","171113.12","166127.6","176495.69","160776.53","165059.23","",
"Austria","AUT","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","3550","3540","3830","4000","4220","4370","4150","3410","3260","2700","2330","1940","1520","900","850","840","970","870","800","700","1100","1200","1400","1100","700","700","640","600","600","550","533","500","479","420","388","404","450","465","451","432","439","362","350","372","400","370","360","350","350","350","350","350","300","350","350","350","350","350","350","350","350","350","350","",
"Azerbaiyán","AZE","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30339","21733","18901","10545","6702","5161","4760","20866","18797","10893","11188","6435","9258","9001","4061","2949","1524","1206","1131","1061","911","857","929","626.2","735","965","1614","1177","2089","1464","1790","",
"Burundi","BDI","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","9200","5300","7200","10600","9700","20200","16600","12300","15000","15600","13300","16900","7500","8500","10982","14547","20333","18900","15682","11250","14767","11880","12131","11366","11361","11369","11840","12009","11677","10762","17395","20994","24073","17000","22000","21101","3041","20296","13426","9199","17315","8964","11000","14697","13855","13400","12978","11309","18265","12615","17305","10654","12309","13232","16054","20120","21805","18999","20310","20372","19589","19550","19935","",
"Bélgica","BEL","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","63700","61600","59900","62000","59500","59700","62800","63800","68200","58700","53000","60200","59000","53300","46820","49027","44496","45360","50577","47125","45615","49279","47841","48580","47871","45115","39466","40231","41541","39633","41460","39891","37120","36089","34254","35599","30823","30500","30835","29876","29800","30209","29028","26831","26735","24567","23019","24541","22609","21722","22418","22477","24659","25662","26793","24721","26970","24649","23005","21350","19953.8","17937","18710","",
"Benin","BEN","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","26000","28000","30000","25000","26000","20000","18800","35600","35900","36600","43110","43404","43202","40673","39402","37533","37104","36528","35879","35700","37832","37768","37521","34628","35275","36360","38738","41889","37266","41860","38234","35083","32488","39221","39923","44379","42175","43785","42139","40437","32324","38415","40663","41648","39988","31497","41507","36386","37495","38928","39791","38848","40364","42416","47583","36477","49806","48203","54959","73484.9","73965","74615","76105","",
"Burkina Faso","BFA","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","2000","2500","2500","3000","3500","3500","4000","4500","4500","4500","5000","5000","4000","5000","5000","5000","6000","6000","7000","7000","6500","7500","7000","7100","7300","7400","7600","7800","7900","8000","7000","7000","7500","7000","8000","8000","8000","8000","8335","7600","8500","8500","8500","9000","9000","9000","9500","10200","11093","11800","14520","16060","20300","20500","20700","20750","21770","25208","27299","27803","29104","29731","30044","",
"Bangladesh","BGD","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","351333","400071","448776","447448","496086","543000","543253","541781","592000","588723","625384","672020","749592","749675","751112","566730","564542","566539","564135","559768","555940","554476","587868","619587","633171","642270","648468","639185","654668","656439","653552","689727","709332","764824","770790","792389","814787","829426","839141","959215","1004264","1068417","1103855","1141241","1187274","1333866","1436496","1494199","1557754","1821579","1726586","1600918","1535715","1550446","1592174","1623837","1674770","1801084","1871225","1895619","1919505","1982483.04","2027661","",
